ward_jis,ward_name,pct_age65p,pct_single65p,poverty_rate,city,pct_age65p_z,pct_single65p_z,poverty_rate_z,iso_index,station_count,area_km2,station_density,transit_z,neg_transit_z,iri_designed,pct_single_household,pct_single_household_z,population_total_2020,population_density,population_density_z,iri_ml_score
13111,大田区,6.48044,5.7699,3.2276,tokyo,-0.2947783379552118,-0.2896321413734466,-0.5603459816069876,-0.372904772076215,49.0,74.46188008733708,0.6580548321171505,0.1659161068297245,-0.1659161068297245,-0.2830592321780207,6.325382605823416,-0.4775563229670101,748081,10046.496262551636,0.0023496882197753,0.2031309229495024
13112,世田谷区,5.43306,5.7875,3.1373,tokyo,-1.7975333410074776,-0.2685642005238562,-0.5854564553040207,-0.975219533151354,44.0,88.08830214870976,0.4994987861807082,-0.0385640805904145,0.0385640805904145,-0.6278310643550754,7.121982766510005,0.1632886596152113,943664,10712.705058237088,0.099093135923694,0.0304971061325688
13113,渋谷区,6.64832,5.1144,2.1056,tokyo,-0.0539082526829945,-1.0742932338113214,-0.872349874055175,-0.6055562334331467,37.0,22.943831161298963,1.6126339031996804,1.396979269445053,-1.396979269445053,-0.6660672368513719,5.681454196028187,-0.9955806856582642,243883,10629.567411190475,0.0870203103150118,0.0009560763550142
13114,中野区,7.30313,5.9707,2.3986,tokyo,0.885596992355726,-0.0492660889531181,-0.7908729217491866,0.102197093731599,18.0,23.7038090095134,0.7593716264240822,0.2965782772082268,-0.2965782772082268,0.0064213999195806,5.113395914284615,-1.452569420578783,344880,14549.560362285412,0.6562617185942193,0.4324383856621492
13115,杉並区,5.69355,5.575,1.5394,tokyo,-1.4237887108397405,-0.5229356454407867,-1.0297978276239483,-1.0353355262553166,23.0,51.746995630225264,0.4444702483667626,-0.1095310731083934,0.1095310731083934,-0.6762109936286625,6.034757202405215,-0.7113572193049705,591108,11423.039981373056,0.2022443550815951,0.0160914743091222
13116,豊島区,6.94668,6.9758,1.4908,tokyo,0.3741713198796607,1.1538809194516226,-1.043312434729993,0.1828390733683532,34.0,19.788801675097456,1.71814345093903,1.533048581522907,-1.533048581522907,-0.0566067143416137,5.129377691398956,-1.439712479064177,301599,15240.892548816484,0.7566534571405268,0.3631871700290812
13117,北区,7.45026,7.9088,12.4051,tokyo,1.0966954891754854,2.270721192898667,1.991717942584848,1.7174099363152486,27.0,31.368967882701977,0.8607232504735615,0.4272853654089533,-0.4272853654089533,1.1761049542241646,6.867849287104584,-0.0411553930231374,355213,11323.706961869082,0.1878197199823727,0.9918168469371452
13118,荒川区,7.0225,7.1012,5.4953,tokyo,0.4829559866972657,1.303989998004956,0.0702522598411004,0.6054550720327233,32.0,15.448497306566797,2.071398878802118,1.988620840972293,-1.988620840972293,0.1624938219979316,7.261245628315101,0.2753221623086029,217475,14077.42097398408,0.5877000416591466,0.7655889804704229
13119,板橋区,7.52657,6.621,7.4789,tokyo,1.2061831959131728,0.7291703845973782,0.6218484461692863,0.8877789275952686,22.0,49.05519070520193,0.4484744567034588,-0.1043670866686385,0.1043670866686385,0.6238631473617907,6.192599949702833,-0.5843766616366309,584483,11914.804358063988,0.2736558728627435,0.9474641020083872
13120,練馬区,6.00117,5.2648,5.1618,tokyo,-0.9824231185628798,-0.89425810291482,-0.0224868650532582,-0.6679927378155754,27.0,73.15345947462693,0.3690871244355145,-0.2067481500021755,0.2067481500021755,-0.4426554558797502,7.23954230476521,0.2578623792345966,752608,10288.07120545051,0.0374299708673025,0.0179031426935045
