地域階層,地域コード,地域,District,マーク Mark,計 Total／数 Number,計 Total／面積 Area,都市公園 Urban parks／都立公園 Tokyo metropolitan parks／数 Number,都市公園 Urban parks／都立公園 Tokyo metropolitan parks／面積 Area,都市公園 Urban parks／区市町村立公園 Municipal parks／数 Number,都市公園 Urban parks／区市町村立公園 Municipal parks／面積 Area,都市公園 Urban parks／国営公園 National government parks／数 Number,都市公園 Urban parks／国営公園 National government parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／自然ふれあい公園 Nature parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／自然ふれあい公園 Nature parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／海上公園 Marine Parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／海上公園 Marine Parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／区市町村立公園 Municipal parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／区市町村立公園 Municipal parks／面積 Area,その他 Others／国民公園等 National parks／数 Number,その他 Others／国民公園等 National parks／面積 Area,その他 Others／公団・公社の設置する公園 Public housing parks／数　Number,その他 Others／公団・公社の設置する公園 Public housing parks／面積 Area
2,13228,あきる野市,Akiruno-shi,,74,445786,1,118447,32,181040,-,-,1,108397,-,-,40,37902,-,-,-,-
2,13229,西東京市,Nishitokyo-shi,,284,394171,1,105593,52,173001,-,-,-,-,-,-,226,87140,-,-,5,28436
1,13300,郡部,All gun,,86,1610429,1,1051652,80,228491,-,-,1,302309,-,-,4,27977,-,-,-,-
2,13303,瑞穂町,Mizuho-machi,,58,1224498,1,1051652,57,172847,-,-,-,-,-,-,-,-,-,-,-,-
2,13305,日の出町,Hinode-machi,,25,57805,-,-,23,55645,-,-,-,-,-,-,2,2161,-,-,-,-
2,13307,檜原村,Hinohara-mura,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13308,奥多摩町,Okutama-machi,,3,328125,-,-,-,-,-,-,1,302309,-,-,2,25816,-,-,-,-
1,13350,島部,All islands,,38,4184984,1,153126,13,203325,-,-,4,3719348,-,-,20,109185,-,-,-,-
2,13361,大島町,Oshima-machi,,7,3405765,-,-,2,68547,-,-,1,3277542,-,-,4,59676,-,-,-,-
2,13363,新島村,Niijima-mura,,11,236787,-,-,4,12400,-,-,1,191389,-,-,6,32998,-,-,-,-
2,13381,三宅村,Miyake-mura,,7,14268,-,-,-,-,-,-,-,-,-,-,7,14268,-,-,-,-
2,13401,八丈町,Hachijo-machi,,5,342432,-,-,4,112971,-,-,1,229460,-,-,-,-,-,-,-,-
2,13362,利島村,Toshima-mura,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13364,神津島村,Kozushima-mura,,1,20957,-,-,-,-,-,-,1,20957,-,-,-,-,-,-,-,-
2,13382,御蔵島村,Mikurajima-mura,,1,103,-,-,-,-,-,-,-,-,-,-,1,103,-,-,-,-
2,13402,青ヶ島村,Aogashima-mura,,1,452,-,-,-,-,-,-,-,-,-,-,1,452,-,-,-,-
2,13421,小笠原村,Ogasawara-mura,,5,164221,1,153126,3,9407,-,-,-,-,-,-,1,1688,-,-,-,-
0,99999,その他,Others,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和5年）TOKYO STATISTICAL YEARBOOK ( 2023 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,,,
17-20  公園 （令和5年4月1日） 17-20  PARKS  ( Apr.1， 2023 ),,,,,,,,,,,,,,,,,,,,,,
１つの公園が複数の区(市)にまたがる場合．公園の数は，面積の占める割合の大きい方の区(市)に計上しているが，面積は各々の区(市)ごとに計上している。ただし、面積割合を区分できないものは、主たる所在地の区（市）に計上してある。 ,,,,,,,,,,,,,,,,,,,,,,
When one park straddles two districts， it is counted as a park in the district having the largest share of the area，  but the actual area is included in each of the districts.However， if the area share for each district cannot be determined， the entire area is recorded under the district where the park is primarily located. ,,,,,,,,,,,,,,,,,,,,,,
注 1) 区部の「その他※１」は，都立公園(水元公園)のうち埼玉県三郷市に該当する面積をあらわしている。,,,,,,,,,,,,,,,,,,,,,,
2) 区部の「その他※２」は，荒川河口部，中央防波堤埋立地，新海面処分場を指す。,,,,,,,,,,,,,,,,,,,,,,
3) 島部の「その他」は，鳥島，ベヨネース列岩，須美寿島，孀婦岩を指す。,,,,,,,,,,,,,,,,,,,,,,
"Note: 1) ""Others ※1"" under All ku shows the area of the section of a metropolitan park (Mizumoto Park) that lies in Misato-city， Saitama prefecture. ",,,,,,,,,,,,,,,,,,,,,,
"2) ""Others ※2"" under All ku indicates the mouth of the Arakawa River and Central Breakwater Reclamation Area， and the Shinkaimen  Landfill Site.",,,,,,,,,,,,,,,,,,,,,,
"3) ""Others"" under All islands indicates Tori-shima， Bayonesu-retsugan， Sumisu-jima， and Sofu-gan.",,,,,,,,,,,,,,,,,,,,,,
資料：都建設局公園緑地部管理課「公園調書」 Source: Bureau of Construction， TMG,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数・その他　1:区部・市部・郡部・島部　２:区市町村）,,,,,,,,,,,,,,,,,,,,,,
（単位　面積　平方メートル）( Area in square meters ),,,,,,,,,,,,,,,,,,,,,,
