地域階層,地域コード,地域,District,一般世帯 Private households／総数 Total,一般世帯 Private households／世帯人員別世帯数 Households by number of household members／1人 Person,一般世帯 Private households／世帯人員別世帯数 Households by number of household members／2人 Persons,一般世帯 Private households／世帯人員別世帯数 Households by number of household members／3人 Persons,一般世帯 Private households／世帯人員別世帯数 Households by number of household members／4人 Persons,一般世帯 Private households／世帯人員別世帯数 Households by number of household members／5人以上 and over,一般世帯 Private households／1世帯当たり人員 Members per household,一般世帯 Private households／総数 Total 1),一般世帯 Private households／親族のみの世帯 Relative households／総数 Total,一般世帯 Private households／親族のみの世帯 Relative households／1　核家族世帯 Nuclear family／計 Total,一般世帯 Private households／親族のみの世帯 Relative households／1　核家族世帯 Nuclear family／夫婦のみの世帯 Married couple only,一般世帯 Private households／親族のみの世帯 Relative households／1　核家族世帯 Nuclear family／夫婦と子供から成る世帯 Married couple and child(ren),一般世帯 Private households／親族のみの世帯 Relative households／1　核家族世帯 Nuclear family／男親と子供から成る世帯 Single-father family,一般世帯 Private households／親族のみの世帯 Relative households／1　核家族世帯 Nuclear family／女親と子供から成る世帯 Single-mother family ,一般世帯 Private households／親族のみの世帯 Relative households／2　その他の親族世帯 Other relative households,一般世帯 Private households／非親族を含む世帯 Non-relative households,一般世帯 Private households／単独世帯 One-person  households
2,13223,武蔵村山市,Musashimurayama-shi,29956,9892,8669,5471,4103,1821,2.33,29956,19847,18417,5985,9073,587,2772,1430,202,9892
2,13224,多摩市,Tama-shi,68354,26359,20697,11312,7783,2203,2.11,68354,41490,39471,15109,18149,929,5284,2019,480,26359
2,13225,稲城市,Inagi-shi,39880,13933,10610,7358,6178,1801,2.29,39880,25511,24289,7934,13323,476,2556,1222,431,13933
2,13227,羽村市,Hamura-shi,23789,8499,6843,4246,3055,1146,2.24,23789,15077,14130,4827,6852,374,2077,947,208,8499
2,13228,あきる野市,Akiruno-shi,31840,8856,10162,6131,4628,2063,2.42,31840,22011,20114,7290,9666,595,2563,1897,452,8856
2,13229,西東京市,Nishitokyo-shi,96896,39856,25822,16105,11990,3123,2.11,96896,55756,52598,18131,26417,1144,6906,3158,1257,39856
1,13300,郡部,All gun,21778,6366,7064,3989,2874,1485,2.39,21778,15168,13638,5080,6155,420,1983,1530,200,6366
1,13350,島部,All islands,12710,6496,3713,1283,809,409,1.83,12710,6136,5715,2825,1968,169,753,421,77,6496
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和5年）TOKYO STATISTICAL YEARBOOK ( 2023 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,,,,
2-10  一般世帯の地域， 世帯人員， 世帯の家族類型別世帯数 （令和2年） 2-10  PRIVATE HOUSEHOLDS BY DISTRICT， NUMBER OF HOUSEHOLD MEMBERS， AND FAMILY TYPE OF HOUSEHOLD ( 2020 ) ,,,,,,,,,,,,,,,,,,,,
令和2年10月1日現在の「国勢調査」による。 一般世帯とは，住居と生計を共にしている人の集まり，1戸を構えて住んでいる単身者，間借り・下宿などの単身者及び会社などの独身寮の単身者をいう。 ,,,,,,,,,,,,,,,,,,,,
Data are based on the Population Census as of October 1， 2020. A private household is defined as a group of persons sharing living quarters and living expenses， a single person occupying a dwelling unit， a single person residing in a boarding house or rented room， or a single person residing in a company dormitory for unmarried employees. ,,,,,,,,,,,,,,,,,,,,
注 1) 一般世帯総数には世帯の家族類型「不詳」を含む。,,,,,,,,,,,,,,,,,,,,
Note: 1) The total number of private households include those whose family type is unknown. ,,,,,,,,,,,,,,,,,,,,
資料：総務省「国勢調査報告」 Source: Ministry of Internal Affairs and Communications,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,
