GEOID,NAME,state,county,tract,pct_age65p,pct_alone65p,poverty_rate,pop_total
36047021900,"Census Tract 219, Kings County, New York",36,047,021900,16.24,72.87,15.31,3677
36047022000,"Census Tract 220, Kings County, New York",36,047,022000,8.01,78.47,50.62,4894
36047022100,"Census Tract 221, Kings County, New York",36,047,022100,16.42,70.6,28.04,3813
36047022200,"Census Tract 222, Kings County, New York",36,047,022200,11.63,64.18,46.78,3991
36047022400,"Census Tract 224, Kings County, New York",36,047,022400,5.23,83.28,23.4,5393
36047022600,"Census Tract 226, Kings County, New York",36,047,022600,5.54,85.82,10.38,2167
36047022700,"Census Tract 227, Kings County, New York",36,047,022700,5.01,88.72,7.67,3873
36047022800,"Census Tract 228, Kings County, New York",36,047,022800,5.54,82.65,35.92,3938
36047022900,"Census Tract 229, Kings County, New York",36,047,022900,5.04,88.65,11.96,3832
36047023000,"Census Tract 230, Kings County, New York",36,047,023000,7.36,76.93,40.77,4619
36047023100,"Census Tract 231, Kings County, New York",36,047,023100,11.86,76.6,7.45,3652
36047023200,"Census Tract 232, Kings County, New York",36,047,023200,9.28,72.74,42.1,5865
36047023300,"Census Tract 233, Kings County, New York",36,047,023300,8.09,84.24,29.6,6023
36047023400,"Census Tract 234, Kings County, New York",36,047,023400,9.93,69.73,51.07,4833
36047023500,"Census Tract 235, Kings County, New York",36,047,023500,1.33,97.2,47.34,5036
36047023600,"Census Tract 236, Kings County, New York",36,047,023600,9.96,71.47,50.26,5352
36047023800,"Census Tract 238, Kings County, New York",36,047,023800,14.57,63.98,40.14,3817
36047024000,"Census Tract 240, Kings County, New York",36,047,024000,11.59,72.24,46.48,5167
36047024100,"Census Tract 241, Kings County, New York",36,047,024100,6.63,87.56,25.88,2955
36047024200,"Census Tract 242, Kings County, New York",36,047,024200,13.45,70.64,17.16,2826
36047024300,"Census Tract 243, Kings County, New York",36,047,024300,16.28,69.57,15.19,4214
36047024400,"Census Tract 244, Kings County, New York",36,047,024400,7.81,76.67,30.98,3547
36047024500,"Census Tract 245, Kings County, New York",36,047,024500,8.17,81.79,10.49,4688
36047024600,"Census Tract 246, Kings County, New York",36,047,024600,16.39,62.34,14.26,2868
36047024700,"Census Tract 247, Kings County, New York",36,047,024700,4.93,89.79,32.04,2697
36047024800,"Census Tract 248, Kings County, New York",36,047,024800,15.42,65.84,7.69,2548
36047024900,"Census Tract 249, Kings County, New York",36,047,024900,4.12,93.12,18.88,4147
36047025000,"Census Tract 250, Kings County, New York",36,047,025000,13.9,64.87,14.36,1799
36047025100,"Census Tract 251, Kings County, New York",36,047,025100,9.66,78.16,21.85,3716
36047025200,"Census Tract 252, Kings County, New York",36,047,025200,9.87,80.42,19.1,5257
36047025300,"Census Tract 253, Kings County, New York",36,047,025300,11.26,79.53,21.1,3616
36047025400,"Census Tract 254, Kings County, New York",36,047,025400,20.04,58.57,20.76,3178
36047025500,"Census Tract 255, Kings County, New York",36,047,025500,8.94,80.71,38.84,5203
36047025600,"Census Tract 256, Kings County, New York",36,047,025600,12.57,66.05,27.15,3166
36047025700,"Census Tract 257, Kings County, New York",36,047,025700,4.05,89.97,17.59,2541
36047025800,"Census Tract 258, Kings County, New York",36,047,025800,14.75,66.32,21.76,4467
36047025901,"Census Tract 259.01, Kings County, New York",36,047,025901,6.4,83.52,24.01,1874
36047025902,"Census Tract 259.02, Kings County, New York",36,047,025902,7.21,80.69,51.24,3650
36047026000,"Census Tract 260, Kings County, New York",36,047,026000,17.93,58.49,12.81,3184
36047026100,"Census Tract 261, Kings County, New York",36,047,026100,6.4,85.47,34.17,4798
36047026200,"Census Tract 262, Kings County, New York",36,047,026200,13.05,70.11,6.13,2513
36047026300,"Census Tract 263, Kings County, New York",36,047,026300,10.41,84.01,22.65,2047
36047026400,"Census Tract 264, Kings County, New York",36,047,026400,10.78,74.2,17.4,4491
36047026500,"Census Tract 265, Kings County, New York",36,047,026500,13.67,76.66,13.43,4032
36047026600,"Census Tract 266, Kings County, New York",36,047,026600,12.47,65.56,10.83,3592
36047026700,"Census Tract 267, Kings County, New York",36,047,026700,21.49,66.06,10.48,4277
36047026800,"Census Tract 268, Kings County, New York",36,047,026800,22.49,56.14,13.46,4299
36047026900,"Census Tract 269, Kings County, New York",36,047,026900,8.11,82.16,19.26,3365
36047027000,"Census Tract 270, Kings County, New York",36,047,027000,13.97,72.36,32.04,2147
36047027100,"Census Tract 271, Kings County, New York",36,047,027100,10.47,77.84,16.09,3351
36047027200,"Census Tract 272, Kings County, New York",36,047,027200,20.43,58.3,18.04,3725
36047027300,"Census Tract 273, Kings County, New York",36,047,027300,10.3,77.62,8.99,3651
36047027400,"Census Tract 274, Kings County, New York",36,047,027400,17.92,55.38,13.62,3377
36047027500,"Census Tract 275, Kings County, New York",36,047,027500,11.12,76.47,18.36,4711
36047027600,"Census Tract 276, Kings County, New York",36,047,027600,10.97,71.11,15.43,3638
36047027700,"Census Tract 277, Kings County, New York",36,047,027700,7.73,82.46,24.16,4449
36047027800,"Census Tract 278, Kings County, New York",36,047,027800,16.59,61.62,9.3,3141
36047027900,"Census Tract 279, Kings County, New York",36,047,027900,12.66,77.9,16.08,3548
36047028000,"Census Tract 280, Kings County, New York",36,047,028000,11.61,73.2,14.45,1869
36047028100,"Census Tract 281, Kings County, New York",36,047,028100,5.38,87.05,33.73,4738
36047028200,"Census Tract 282, Kings County, New York",36,047,028200,20.5,64.8,13.68,3605
36047028300,"Census Tract 283, Kings County, New York",36,047,028300,12.08,75.19,30.89,3701
36047028400,"Census Tract 284, Kings County, New York",36,047,028400,17.33,65.14,16.08,3440
36047028501,"Census Tract 285.01, Kings County, New York",36,047,028501,7.25,93.42,38.59,386
36047028502,"Census Tract 285.02, Kings County, New York",36,047,028502,27.72,53.0,30.58,2937
36047028600,"Census Tract 286, Kings County, New York",36,047,028600,15.81,61.09,24.12,5257
36047028700,"Census Tract 287, Kings County, New York",36,047,028700,11.15,75.98,23.98,3308
36047028800,"Census Tract 288, Kings County, New York",36,047,028800,20.86,55.96,15.84,3422
36047028900,"Census Tract 289, Kings County, New York",36,047,028900,13.41,67.85,31.03,3728
36047029000,"Census Tract 290, Kings County, New York",36,047,029000,24.33,55.45,29.47,3539
36047029100,"Census Tract 291, Kings County, New York",36,047,029100,9.41,77.71,8.77,3232
36047029200,"Census Tract 292, Kings County, New York",36,047,029200,14.66,68.28,15.27,2776
36047029300,"Census Tract 293, Kings County, New York",36,047,029300,17.03,70.02,29.82,3353
36047029400,"Census Tract 294, Kings County, New York",36,047,029400,28.95,78.79,24.26,2494
36047029500,"Census Tract 295, Kings County, New York",36,047,029500,8.5,83.96,23.03,4212
36047029600,"Census Tract 296, Kings County, New York",36,047,029600,12.3,72.29,26.06,5246
36047029700,"Census Tract 297, Kings County, New York",36,047,029700,11.63,74.83,18.52,4412
36047029800,"Census Tract 298, Kings County, New York",36,047,029800,12.08,74.23,25.71,3734
