地域階層,地域コード,地域,District,昼間人口 Daytime population,常住人口 De jure population,(A)流入超過人口(=B-C) Net inflow of population／計 Total,(A)流入超過人口(=B-C) Net inflow of population／通勤者(15歳以上) Commuters (15years old and over),(A)流入超過人口(=B-C) Net inflow of population／通学者 Pupils and students,(B)流入人口 Population inflow／計 Total,(B)流入人口 Population inflow／通勤者(15歳以上)Commuters (15years old and over),(B)流入人口 Population inflow／通学者 Pupils and students,(C)流出人口 Population outflow／計 Total,(C)流出人口 Population outflow／通勤者(15歳以上) Commuters (15years old and over),(C)流出人口 Population outflow／通学者 Pupils and students,面積  Area 1) (km2),昼間人口密度(1km2につき) Daytime population density per sq. km,昼夜間人口比率 Ratio of daytime population to nighttime population 2)
2,13228,あきる野市,Akiruno-shi,67342,79292,-11950,-11018,-932,10778,9132,1646,22728,20150,2578,73.47,916.6,84.9
2,13229,西東京市,Nishitokyo-shi,167697,207388,-39691,-35531,-4160,28267,24359,3908,67958,59890,8068,15.75,10647.4,80.9
1,13300,郡部,All gun,60135,55476,4659,6059,-1400,18878,18565,313,14219,12506,1713,375.86,160,108.4
2,13303,瑞穂町,Mizuho-machi,35317,31765,3552,4307,-755,12605,12328,277,9053,8021,1032,16.85,2096,111.2
2,13305,日の出町,Hinode-machi,17760,16958,802,1290,-488,5167,5149,18,4365,3859,506,28.07,632.7,104.7
2,13307,檜原村,Hinohara-mura,2133,2003,130,160,-30,511,500,11,381,340,41,105.41,20.2,106.5
2,13308,奥多摩町,Okutama-machi,4925,4750,175,302,-127,1023,1014,9,848,712,136,225.53,21.8,103.7
1,13350,島部,All islands,24969,24461,508,530,-22,630,596,34,122,66,56,406.69,61.4,102.1
,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和5年）TOKYO STATISTICAL YEARBOOK ( 2023 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,
2-12  地域別昼間人口及び流入・流出人口（令和2年10月1日） 2-12  CHANGES IN DAYTIME POPULATION AND POPULATION INFLOW AND OUTFLOW BY DISTRICT ( Oct. 1， 2020 ),,,,,,,,,,,,,,,,,
「国勢調査」による。昼間・常住人口については，年齢・労働力不詳及び15歳未満就業者を含む。流入・流出人口の通勤者は，15歳以上である。,,,,,,,,,,,,,,,,,
Figures are based on the Population Census. The daytime and de jure population data include unknown age and unknown labor force status， and workers under 15 years old. Commuters counted as population inflow and outflow are all aged 15 or above.,,,,,,,,,,,,,,,,,
注 1) 面積は国土交通省国土地理院調べにかかる令和2年10月1日現在の「全国都道府県市区町村別面積調」による。,,,,,,,,,,,,,,,,,
2) 昼夜間人口比率 ＝（昼間人口÷常住人口）×100,,,,,,,,,,,,,,,,,
Note: 1) Figures based on the Land Survey as of Oct. 1， 2020， prepared by the Geospatial Information Authority.,,,,,,,,,,,,,,,,,
2) Ratio of daytime population to nighttime population = (Daytime population ÷ De jure population)×100,,,,,,,,,,,,,,,,,
資料：総務省「国勢調査報告」，都総務局統計部人口統計課  「東京都の昼間人口（従業地・通学地による人口）」 Source: Ministry of Internal Affairs and Communications; Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,
