地域階層,地域コード,地域,District,施設数 Number of facilities,学級・事業数 Classes and Programs／総数 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／計 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／高齢者 Seniors,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／女性 Women,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／家庭教育 Home education,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／青年 Youth,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／少年 Children,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／成人・一般 Adults and general public,学級・事業数 Classes and programs／分野別事業数 Programs by category／リーダー講習・研修会 Leadership training and workshops,学級・事業数 Classes and programs／分野別事業数 Programs by category／行事・大会 Events and Meets,学級・事業数 Classes and programs／分野別事業数 Programs by category／文化財保護普及事業 Cultural property protection and promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／障害者対象事業 Programs for the disabled,学級・事業数 Classes and programs／分野別事業数 Programs by category／青少年対策事業 Youth programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／視聴覚事業 Audio-visual programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／図書館事業 Library programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／博物館事業 Museum programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／人権学習促進事業 Human rights study／promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／その他の事業 Others programs
2,13215,国立市,Kunitachi-shi,11,149,44,1,2,1,9,-,31,-,2,11,7,-,1,35,-,-,49
2,13218,福生市,Fussa-shi,9,192,68,4,10,2,-,9,43,3,12,4,1,-,-,16,2,-,86
2,13219,狛江市,Komae-shi,3,39,20,-,-,-,7,4,9,-,3,2,1,-,-,4,-,-,9
2,13220,東大和市,Higashiyamato-shi,9,107,25,3,-,7,-,3,12,-,11,3,1,-,-,42,13,-,12
2,13221,清瀬市,Kiyose-shi,10,72,17,4,2,2,-,2,7,1,4,4,-,1,-,11,32,-,2
2,13222,東久留米市,Higashikurume-shi,6,111,88,-,-,4,-,20,64,1,3,5,2,-,-,7,-,-,5
2,13223,武蔵村山市,Musashimurayama-shi,7,27,11,3,-,3,-,2,3,-,2,1,-,-,-,1,4,-,8
2,13224,多摩市,Tama-shi,19,138,56,-,-,22,-,6,28,-,25,19,-,-,-,25,-,-,13
2,13225,稲城市,Inagi-shi,11,53,23,4,-,6,-,-,13,4,7,2,1,3,2,7,-,-,4
2,13227,羽村市,Hamura-shi,4,75,24,-,-,2,1,2,19,1,9,1,1,1,3,18,15,-,2
2,13228,あきる野市,Akiruno-shi,9,114,9,2,-,2,-,2,3,3,1,8,-,-,-,79,7,-,7
2,13229,西東京市,Nishitokyo-shi,14,107,58,2,6,5,2,7,36,-,13,7,2,-,2,20,-,-,5
1,13300,郡部,All gun,19,95,20,4,-,-,-,5,11,5,27,10,-,3,-,13,14,-,3
2,13303,瑞穂町,Mizuho-machi,9,72,11,4,-,-,-,3,4,4,17,10,-,2,-,13,14,-,1
2,13305,日の出町,Hinode-machi,4,13,2,-,-,-,-,-,2,-,9,-,-,1,-,-,-,-,1
2,13307,檜原村,Hinohara-mura,2,5,3,-,-,-,-,-,3,1,1,-,-,-,-,-,-,-,-
2,13308,奥多摩町,Okutama-machi,4,5,4,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,1
1,13350,島部,All islands,30,81,33,-,12,-,-,11,10,-,19,5,-,-,-,5,3,-,16
2,13361,大島町,Oshima-machi,8,9,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,7
2,13362,利島村,Toshima-mura,1,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
2,13363,新島村,Niijima-mura,2,7,1,-,-,-,-,-,1,-,2,1,-,-,-,1,1,-,1
2,13364,神津島村,Kozushima-mura,3,16,-,-,-,-,-,-,-,-,10,-,-,-,-,1,1,-,4
2,13381,三宅村,Miyake-mura,5,5,-,-,-,-,-,-,-,-,1,1,-,-,-,1,1,-,1
2,13382,御蔵島村,Mikurajima-mura,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
2,13401,八丈町,Hachijo-machi,8,35,31,-,12,-,-,11,8,-,1,-,-,-,-,2,-,-,1
2,13402,青ヶ島村,Aogashima-mura,1,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
2,13421,小笠原村,Ogasawara-mura,1,4,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和5年）TOKYO STATISTICAL YEARBOOK ( 2023 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,,,
17-8  社会教育施設数及び社会教育事業数 (令和4年度) 17-8  NUMBER OF SOCIAL EDUCATION FACILITIES AND SOCIAL EDUCATION PROGRAMS ( Fiscal Year 2022 ),,,,,,,,,,,,,,,,,,,,,,
注) 施設数は，令和5年5月1日現在の数値である。   ,,,,,,,,,,,,,,,,,,,,,,
Note: Number of facilities as of May 1， 2023. ,,,,,,,,,,,,,,,,,,,,,,
資料：都教育庁地域教育支援部生涯学習課 「区市町村生涯学習・社会教育行政データブック」 Source: Office of Education， TMG   ,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,
（単位　学級〔学級数〕， 事業〔事業数〕）(Units: Number of classes， number of programs),,,,,,,,,,,,,,,,,,,,,,
