年度,Fiscal year,地域階層,地域コード,地域,District,総数 Total,大気汚染 Air pollution,水質汚濁 Water pollution,土壌汚染 Soil pollution,騒音 Noises,振動 Vibration,地盤沈下 Ground subsidence,悪臭 Offensive odors,典型7公害以外計 Other pollution
令和5,2023,2,13118,荒川区,Arakawa-ku,190,10,-,1,73,22,-,10,74
令和5,2023,2,13119,板橋区,Itabashi-ku,255,43,-,-,144,33,-,28,7
令和5,2023,2,13120,練馬区,Nerima-ku,279,43,1,-,153,42,-,31,9
令和5,2023,2,13121,足立区,Adachi-ku,450,79,-,-,259,50,1,54,7
令和5,2023,2,13122,葛飾区,Katsushika-ku,238,29,-,-,147,22,-,25,15
令和5,2023,2,13123,江戸川区,Edogawa-ku,333,55,-,1,214,32,-,29,2
令和5,2023,1,13200,市部,All shi,2668,445,69,2,1015,97,1,304,735
令和5,2023,2,13201,八王子市,Hachioji-shi,246,105,11,-,94,5,-,27,4
令和5,2023,2,13202,立川市,Tachikawa-shi,55,15,-,-,26,2,-,7,5
令和5,2023,2,13203,武蔵野市,Musashino-shi,98,6,-,-,71,11,-,7,3
令和5,2023,2,13204,三鷹市,Mitaka-shi,109,22,-,-,47,17,-,22,1
令和5,2023,2,13205,青梅市,Ome-shi,82,35,1,-,36,1,-,8,1
令和5,2023,2,13206,府中市,Fuchu-shi,105,23,-,-,70,1,-,10,1
令和5,2023,2,13207,昭島市,Akishima-shi,179,7,-,-,21,-,-,2,149
令和5,2023,2,13208,調布市,Chofu-shi,111,12,2,-,68,10,-,16,3
令和5,2023,2,13209,町田市,Machida-shi,170,45,18,-,64,9,-,32,2
令和5,2023,2,13210,小金井市,Koganei-shi,44,5,-,-,29,4,-,5,1
令和5,2023,2,13211,小平市,Kodaira-shi,44,16,-,-,20,4,-,4,-
令和5,2023,2,13212,日野市,Hino-shi,343,30,22,2,119,6,1,34,129
令和5,2023,2,13213,東村山市,Higashimurayama-shi,61,5,1,-,35,1,-,18,1
令和5,2023,2,13214,国分寺市,Kokubunji-shi,75,5,-,-,42,7,-,20,1
令和5,2023,2,13215,国立市,Kunitachi-shi,51,6,-,-,34,-,-,10,1
令和5,2023,2,13218,福生市,Fussa-shi,66,1,-,-,25,-,-,8,32
令和5,2023,2,13219,狛江市,Komae-shi,104,1,-,-,22,-,-,5,76
令和5,2023,2,13220,東大和市,Higashiyamato-shi,32,6,-,-,5,-,-,1,20
令和5,2023,2,13221,清瀬市,Kiyose-shi,69,17,-,-,21,8,-,1,22
令和5,2023,2,13222,東久留米市,Higashikurume-shi,156,31,10,-,55,3,-,17,40
令和5,2023,2,13223,武蔵村山市,Musashimurayama-shi,119,1,-,-,21,1,-,13,83
令和5,2023,2,13224,多摩市,Tama-shi,32,6,3,-,18,3,-,1,1
令和5,2023,2,13225,稲城市,Inagi-shi,20,3,1,-,8,-,-,4,4
令和5,2023,2,13227,羽村市,Hamura-shi,42,-,-,-,19,-,-,23,-
令和5,2023,2,13228,あきる野市,Akiruno-shi,199,20,-,-,20,-,-,5,154
令和5,2023,2,13229,西東京市,Nishitokyo-shi,56,22,-,-,25,4,-,4,1
令和5,2023,1,13300,郡部,All gun,75,11,1,0,20,-,-,8,35
令和5,2023,2,13303,瑞穂町,Mizuho-machi,29,5,1,-,15,-,-,8,-
令和5,2023,2,13305,日の出町,Hinode-machi,46,6,-,-,5,-,-,-,35
令和5,2023,2,13307,檜原村,Hinohara-mura,-,-,-,-,-,-,-,-,-
令和5,2023,2,13308,奥多摩町,Okutama-machi,-,-,-,-,-,-,-,-,-
令和5,2023,1,13350,島部,All islands,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
東京都統計年鑑（令和5年）TOKYO STATISTICAL YEARBOOK ( 2023 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,
19-11 公害の種類別苦情件数（令和元～5年度） 19-11 COMPLAINTS ABOUT POLLUTIONS BY KIND  ( Fiscal Years 2019-2023 ),,,,,,,,,,,,,,
資料：都環境局総務部総務課 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,
